timestamp,building_baseline,temperature,condenser_power_W,compressor_power_W,crs_baseline
2019-05-09 15:15:00,102.4,68.5,605.9804815089593,22108.77145753432,22.714751939043275
2019-05-09 15:30:00,102.4,69.3,619.5338528254182,22695.371629377518,23.31490548220293
2019-05-09 15:45:00,102.4,69.6,603.950901526149,22186.09796080082,22.79004886232697
2019-05-09 16:00:00,147.2,68.9,528.3113894110456,19649.634483682592,20.17794587309364
2019-05-09 16:15:00,166.4,68.4,507.5171595711108,18907.50156561816,19.41501872518927
2019-05-09 16:30:00,153.6,68.5,508.0739979246529,18885.90695088249,19.393980948807144
2019-05-09 16:45:00,140.8,68.9,517.9461897946129,19176.186043556943,19.69413223335156
2019-05-09 17:00:00,76.8,69.1,614.0492499372552,22408.42334378895,23.0224725937262
2019-05-09 17:15:00,128.0,69.3,579.2151154647079,21170.927768490743,21.75014288395545
2019-05-09 17:30:00,128.0,69.1,564.7159438379507,20640.48627324248,21.205202217080426
2019-05-09 17:45:00,179.2,68.4,565.0718721832154,20624.02131693442,21.189093189117642
2019-05-09 18:00:00,204.8,67.8,565.4272209033043,20607.51074330241,21.172937964205715
2019-05-09 18:15:00,211.2,67.8,566.6094309573425,20552.056755260062,21.118666186217407
2019-05-09 18:30:00,211.2,67.3,624.4819782301827,22420.026888939872,23.04450886717005
2019-05-09 18:45:00,217.6,67.3,645.0097750059083,23003.06226279604,23.64807203780195
2019-05-09 19:00:00,217.6,66.9,525.6073276391048,18938.24747938381,19.463854807022916
2019-05-09 19:15:00,230.4,66.7,515.844127969762,18570.92706583845,19.08677119380821
2019-05-09 19:30:00,217.6,66.4,516.5202296492937,18542.268033415963,19.058788263065253
2019-05-09 19:45:00,230.4,66.0,554.5809496338684,19714.60696243753,20.2691879120714
2019-05-09 20:00:00,217.6,65.5,572.8554565246853,20245.231298764298,20.818086755288984
2019-05-09 20:15:00,230.4,65.3,661.8990228451024,23135.878455063805,23.797777477908912
2019-05-09 20:30:00,217.6,65.1,587.5715234725873,20558.33218375189,21.14590370722448
2019-05-09 20:45:00,217.6,64.8,576.7945312705838,20071.37916782593,20.648173699096514
2019-05-09 21:00:00,230.4,63.3,539.3660320558562,18865.619158941518,19.404985190997373
2019-05-09 21:15:00,230.4,63.5,497.8262220982589,17377.516019368002,17.875342241466264
2019-05-09 21:30:00,217.6,63.5,522.4527281384067,18281.653631505258,18.804106359643665
2019-05-09 21:45:00,230.4,63.3,522.7977055060389,18265.978050462018,18.788775755968057
2019-05-09 22:00:00,217.6,62.8,526.9934233308422,18370.32304363201,18.897316466962852
2019-05-09 22:15:00,217.6,63.0,578.4057399122421,19951.92281915204,20.530328559064287
2019-05-09 22:30:00,224.0,62.8,543.9928775093763,18860.587074161722,19.404579951671103
2019-05-09 22:45:00,211.2,62.6,578.8997067560074,19924.824150775457,20.503723857531465
2019-05-09 23:00:00,217.6,62.4,626.3108015408931,21405.80249925324,22.03211330079414
2019-05-09 23:15:00,166.4,61.9,618.5876427544447,21137.220965550896,21.755808608305344
2019-05-09 23:30:00,153.6,62.1,579.6489728709538,19883.39984744491,20.463048820315866
2019-05-09 23:45:00,149.45,62.2,600.1515628728896,20520.101212638667,21.12025277551156
2019-05-10 00:00:00,147.2,62.4,478.08933886577523,16484.44535684587,16.962534695711643
2019-05-10 00:15:00,153.6,62.6,525.2874280349183,18151.082166522032,18.67636959455695
2019-05-10 00:30:00,128.0,62.2,558.9940346080896,19177.83805416213,19.736832088770218
2019-05-10 00:45:00,153.6,61.2,672.6376347995422,22720.27158620378,23.392909221003322
2019-05-10 01:00:00,140.8,61.5,595.8282828602162,20235.962069815007,20.831790352675227
2019-05-10 01:15:00,140.8,61.3,447.8158395605954,15334.796451775796,15.782612291336392
2019-05-10 01:30:00,140.8,61.3,530.8400642623621,18231.694836657287,18.76253490091965
2019-05-10 01:45:00,153.6,61.3,675.4556181698622,22680.843328550687,23.356298946720553
2019-05-10 02:00:00,166.4,61.2,584.1829881680038,19806.102804457838,20.39028579262584
2019-05-10 02:15:00,140.8,61.2,567.2978709524649,19289.006482710614,19.856304353663077
2019-05-10 02:30:00,153.6,61.2,562.353021681456,19137.59650629136,19.69994952797281
2019-05-10 02:45:00,153.6,61.2,582.1588178159427,19741.778285159467,20.32393710297541
2019-05-10 03:00:00,147.2,61.0,548.6132477809848,18717.270989154906,19.26588423693589
2019-05-10 03:15:00,160.0,60.6,592.6805122740008,20070.288823618008,20.662969335892008
2019-05-10 03:30:00,166.4,60.8,684.4541823008277,22901.470681259554,23.585924863560386
2019-05-10 03:45:00,179.2,60.8,684.5937069465576,22896.040273857514,23.580633980804077
2019-05-10 04:00:00,153.6,61.0,636.6940155073626,21400.846201039032,22.037540216546397
2019-05-10 04:15:00,179.2,61.0,645.308195875964,21634.97828037652,22.280286476252485
2019-05-10 04:30:00,204.8,61.0,617.0236166817525,20728.559512971893,21.345583129653644
2019-05-10 04:45:00,192.0,61.0,530.0596822004984,17973.621404139973,18.503681086340467
2019-05-10 05:00:00,179.2,60.8,528.8361606182797,17981.800878723236,18.510637039341518
2019-05-10 05:15:00,204.8,60.8,593.7988237980529,19852.373397246585,20.44617222104464
2019-05-10 05:30:00,192.0,60.6,658.1552299466152,21838.605852667097,22.496761082613716
2019-05-10 05:45:00,179.2,60.4,531.2789669029975,17948.991226185237,18.480270193088234
2019-05-10 06:00:00,192.0,60.4,570.7495608746514,19096.143897517893,19.666893458392547
2019-05-10 06:15:00,230.4,60.4,542.2102254340261,18237.56745691977,18.779777682353792
2019-05-10 06:30:00,211.2,60.3,620.8708558325211,20610.40080270023,21.23127165853275
2019-05-10 06:45:00,211.2,60.4,624.202493021175,20702.170411227627,21.3263729042488
2019-05-10 07:00:00,230.4,60.4,628.414541284004,20825.985478357245,21.45440001964125
2019-05-10 07:15:00,217.6,60.4,538.0484263749617,18138.330593006398,18.676379019381358
2019-05-10 07:30:00,230.4,60.4,501.2069283087052,16764.714452069464,17.265921380378167
2019-05-10 07:45:00,217.6,60.4,567.4045888189746,19094.75514571265,19.662159734531627
2019-05-10 08:00:00,230.4,60.8,517.8329164322046,17508.60481227387,18.026437728706075
2019-05-10 08:15:00,217.6,61.2,456.9196816161946,15436.212369392173,15.893132051008367
2019-05-10 08:30:00,153.6,60.8,520.4806352067932,17849.81148535604,18.370292120562837
2019-05-10 08:45:00,89.6,61.0,543.4856865976267,18602.0311578174,19.145516844415027
2019-05-10 09:00:00,128.0,61.2,524.5169034306466,18186.97461380825,18.71149151723889
2019-05-10 09:15:00,128.0,62.1,591.5212689525474,20417.418507812115,21.008939776764663
2019-05-10 09:30:00,128.0,62.4,657.3956003178466,22677.180951237147,23.33457655155499
2019-05-10 09:45:00,128.0,63.0,616.865906984003,21520.995364012186,22.13786127099619
2019-05-10 10:00:00,128.0,64.0,592.6200057937077,20901.482026520614,21.49410203231433
2019-05-10 10:15:00,128.0,64.8,583.9487013525018,20771.97976051261,21.35592846186512
2019-05-10 10:30:00,128.0,65.1,603.5043410374992,21579.53659626646,22.183040937303964
2019-05-10 10:45:00,128.0,66.0,661.5122344451662,23728.27816147846,24.389790395923637
2019-05-10 11:00:00,128.0,66.2,620.330741315521,22508.433485341408,23.128764226656926
2019-05-10 11:15:00,128.0,67.6,635.1247114866861,23219.578481172182,23.85470319265887
2019-05-10 11:30:00,128.0,69.1,652.2626427046938,24026.730642634386,24.67899328533908
2019-05-10 11:45:00,128.0,69.4,588.5961074974698,21966.70712242594,22.55530322992341
2019-05-10 12:00:00,128.0,71.1,643.2290291461071,24124.258764143786,24.76748779328989
2019-05-10 12:15:00,128.0,72.5,676.4824892008529,25566.98030895836,26.243462798159214
2019-05-10 12:30:00,128.0,73.4,706.9116129201292,26920.70919570361,27.62762080862374
2019-05-10 12:45:00,128.0,74.1,638.7705756843095,24429.140028583737,25.06791060426805
2019-05-10 13:00:00,128.0,75.0,636.3824567926441,24496.485009634634,25.13286746642728
2019-05-10 13:15:00,128.0,75.9,571.8699664088131,22185.355738745293,22.757225705154106
2019-05-10 13:30:00,128.0,76.3,628.601208055967,24431.66989044569,25.060271098501648
2019-05-10 13:45:00,128.0,77.5,631.1176171220966,24640.98956974998,25.272107186872077
2019-05-10 14:00:00,128.0,77.4,694.393123718819,27289.688658892406,27.984081782611227
2019-05-10 14:15:00,128.0,78.1,709.4817130787262,27973.43203239469,28.682913745473424
2019-05-10 14:30:00,128.0,78.8,704.2543056824379,27843.48325074513,28.54773755642757
2019-05-10 14:45:00,128.0,79.3,626.1036571179842,24773.656560815216,25.399760217933196
2019-05-10 15:00:00,128.0,79.5,689.7745287015471,27418.021401028458,28.107795929730006
2019-05-10 15:15:00,128.0,79.3,624.4781669975429,24815.652305142416,25.44013047213996
2019-05-10 15:30:00,128.0,79.2,623.9388913301692,24829.476691213604,25.45341558254377
2019-05-10 15:45:00,128.0,79.0,591.0915397877458,23579.737790254752,24.170829330042494
2019-05-10 16:00:00,128.0,78.4,570.761756421667,22815.716322064083,23.38647807848575
2019-05-10 16:15:00,128.0,77.7,540.8063125143602,21595.01383810292,22.13582015061728
2019-05-10 16:30:00,128.0,77.4,617.1319427925697,24520.561634574096,25.13769357736666
2019-05-10 16:45:00,128.0,76.8,599.6382477037621,23785.48554610521,24.38512379380897
2019-05-10 17:00:00,38.4,75.9,626.3729708353795,24766.65112612967,25.39302409696505
2019-05-10 17:15:00,64.0,75.2,595.3142288898712,23458.300656539282,24.05361488542915
2019-05-10 17:30:00,38.4,74.5,590.9519518725209,23185.74273632858,23.776694688201104
2019-05-10 17:45:00,89.6,73.6,604.3913962193932,23592.10555073343,24.19649694695283
2019-05-10 18:00:00,153.6,72.9,610.2608458131853,23706.60680132209,24.316867647135272
2019-05-10 18:15:00,140.8,72.5,575.6895582866605,22301.7462061992,22.87743576448586
2019-05-10 18:30:00,128.0,71.6,577.9369209005663,22286.77108631873,22.8647080072193
2019-05-10 18:45:00,172.8,70.7,632.4573035317276,24209.171292173243,24.84162859570497
2019-05-10 19:00:00,198.4,69.8,537.4301537953479,20622.894716716823,21.16032487051217
2019-05-10 19:15:00,204.8,68.9,511.1754445102628,19517.12082201444,20.028296266524702
2019-05-10 19:30:00,217.6,68.4,572.3237505661789,21473.48256526372,22.045806315829893
2019-05-10 19:45:00,211.2,67.8,579.1479524255683,21488.146087567075,22.067294039992642
2019-05-10 20:00:00,211.2,66.9,655.4259484752039,23926.793508228096,24.5822194567033
2019-05-10 20:15:00,230.4,66.6,658.0800639856764,23841.244535848182,24.49932459983386
